number,value,state,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,user_attrs_auc_gap_penalty,user_attrs_train_auc,user_attrs_validation_auc,user_attrs_validation_log_loss
33,0.5695410440668783,COMPLETE,0.74640751367543,0.04814011192907979,8,878,0.057615526407240915,0.3446465910639777,570,22,1.7962719897876807e-05,0.00419486978455064,0.5907073993151701,1,0.00956630405790291,0.6269388684142958,0.5791073481247813,0.6818177295445206
34,0.5714312488265106,COMPLETE,0.798566230207101,0.05354320257144494,7,828,0.0006778326579016274,0.21969717632875851,1886,49,6.020213130384679e-06,0.018265375105026013,0.5240158931861482,4,0.008221337658629025,0.6207592747782847,0.5796525864851396,0.6816559382231606
35,0.5683228285771282,COMPLETE,0.785387568100484,0.019784764200618383,8,758,0.0002471669576058204,0.025224708260796175,1529,55,0.009832452410509252,0.0020611795410282996,0.6040432074931832,3,0.010374021724959936,0.6305669589268879,0.5786968503020882,0.6816458819063581
36,0.5712004862883888,COMPLETE,0.9095208293028153,0.06339572367947505,6,879,0.0007496889401716035,0.19126828260536335,2118,43,0.00013773228208138288,0.014472109303638557,0.5428579994211472,7,0.008089479206422756,0.6197373615269254,0.5792899654948116,0.6818334742367306
37,0.5698394417449599,COMPLETE,0.8062481412446842,0.02898285890007955,5,839,0.004814897296346225,0.428502333457437,2322,47,4.089875786207702e-05,0.018717929882387747,0.5485074070381525,6,0.008506572180488647,0.6208788748278918,0.5783460139254486,0.6820083313619499
38,0.5692137005062412,COMPLETE,0.7605709994078044,0.028730976263081902,7,820,0.00010852482426443852,0.16872610570819324,2410,34,8.068009328214281e-07,0.00017313613787894055,0.5653167268549008,4,0.009049096122183143,0.6235082772393401,0.5782627966284244,0.6820370589819194
39,0.5702162072223235,COMPLETE,0.926470956923639,0.07053471680081355,6,683,0.00011115995592905702,0.15845181259785196,2325,46,0.004470172113744907,0.00619957006147747,0.532337943856067,7,0.009594606094141334,0.6277838437871714,0.5798108133164648,0.681484189037741
40,0.5674787541173086,COMPLETE,0.3528997021434119,0.07550181993178451,6,784,0.0010672657773108272,0.4630567076368257,604,48,0.0006182551941783255,16.174946718718036,0.6785533231310507,3,0.011516472972357673,0.6365775919514547,0.5789952270896663,0.6813622046408193
41,0.5695516866895508,COMPLETE,0.8694386825463781,0.05926176207822894,6,730,0.0015083810918586143,0.18577780514374284,2138,40,7.990006479775016e-08,0.7161794798078581,0.60681620765896,4,0.010371378750807582,0.6317799591943963,0.5799230654403584,0.6815298269585487
42,0.5712616055192393,COMPLETE,0.8114431074039579,0.07308977172031911,7,991,0.00031594544425357163,0.41676001277989455,1279,43,0.0012896057861069893,0.0016930975343879774,0.6026997705563223,2,0.007955597677479932,0.6189951915841189,0.5792172031967192,0.6818766633288453
43,0.5683222827981365,COMPLETE,0.8968959413293889,0.07031607493820279,7,809,0.003920889877809285,0.8631840975947384,809,45,0.0069511229004214185,0.001488259216295486,0.6302904411683742,1,0.01021852905264875,0.629633457114029,0.5785408118507852,0.6817693427149895
44,0.569950256336438,COMPLETE,0.9195036223584261,0.04466655997710005,9,868,0.0010667739395368058,0.03044753231112035,737,31,0.10885069010845604,0.004692333827565787,0.545362407025088,2,0.008760826461637162,0.622515215106261,0.5787110827980751,0.6818676425016894
45,0.568973582235155,COMPLETE,0.6058071223433356,0.045917210649696116,9,812,0.0872533611782568,0.03404592589909203,2038,39,0.0014203644501979155,0.06428585530034957,0.5454922053884569,1,0.009507271213363389,0.6260172095153353,0.5784808534485184,0.681894742814446
46,0.5681408398444908,COMPLETE,0.8156252567064718,0.07471530709378241,5,641,0.00378789207434544,0.2890893528221512,1474,39,0.023982830885304122,0.006181647411362553,0.5926729032424921,2,0.011373830544198361,0.636383823109681,0.5795146703886892,0.6815449630211299
47,0.5727795403982702,COMPLETE,0.8181481456233237,0.07770880977545082,8,1000,0.0038741242578910267,0.27735089305889293,1236,47,0.0004067588761121244,0.0005221618577513224,0.5254441430536937,3,0.007116124812032232,0.6154762892704636,0.5798956652103024,0.6817518455136118
48,0.570576885045499,COMPLETE,0.7922187156139894,0.0644630884501398,5,891,0.016412861328917328,0.047634323337120504,1382,33,0.0847899890163159,0.22209796349662841,0.5671397210882033,7,0.008135393603272778,0.6193892466651356,0.5787122786487717,0.6819449486214062
49,0.5715948194970895,COMPLETE,0.9057752627017954,0.060364198409810096,8,925,0.00037895918007499403,0.559804954261351,1482,56,0.0017326584931443428,0.00034034318772759443,0.6147376945747174,3,0.008522709458455435,0.6227310762478221,0.5801175289555449,0.6817967680228065
50,0.5695046384799404,COMPLETE,0.9117204697036925,0.038285293162464734,8,739,0.0003084790401609798,0.6618498346657554,1534,51,5.57619119429142e-05,0.00025984126403116924,0.6536860958373719,4,0.010792153043009556,0.6342575567379977,0.5802967915229499,0.681344297827851
51,0.579834476820324,PRUNED,0.6818842377567306,0.05228659231306828,7,864,0.010444872385277148,0.17328476617516858,708,57,3.4845571382547914e-05,0.00022511142382082046,0.7178414676547107,1,,,,
52,0.5722270623902543,COMPLETE,0.9040894732232596,0.05858832617871815,7,929,0.010600472692163887,0.04279230544448212,1396,47,1.4438485829887038e-05,0.00011213023206730735,0.5853921710745166,3,0.00868596678083533,0.6243428630752663,0.5809130291710897,0.6816907881364186
53,0.572639740143843,COMPLETE,0.7025579827481025,0.06384806595813775,7,970,0.00015142652465918583,0.4307296874848996,988,37,0.0035730594104209745,0.02585681281449003,0.5490521480621319,3,0.007926888266837517,0.6202010697448681,0.5805666284106805,0.6817454585078678
54,0.5710866922150746,COMPLETE,0.8753392367565084,0.037625417308153226,6,924,0.12649161560717923,0.0036780329166759274,920,37,4.089814656317694e-06,0.00024191462488499182,0.6174082245057726,4,0.00811850164433534,0.6197977020810866,0.5792051938594099,0.6819064692985677
55,0.569877764326098,COMPLETE,0.8754336422117992,0.059624942383114686,8,704,0.027210515781378692,0.04134689406048282,1648,53,0.001690969239746438,0.00019521000912574635,0.5317662286574119,2,0.009369712352686577,0.6260960384422175,0.5792474766787846,0.6817473469892567
56,0.5693642894586183,PRUNED,0.7365432836050344,0.05771853323912677,7,823,0.0002698441168205353,0.3027814300210838,767,21,0.000851858201718679,0.0952966864556468,0.6103636623401454,4,,,,
57,0.5705859812210945,COMPLETE,0.9141341632158172,0.07445239639347401,8,978,0.000740169073945854,0.1383415652417896,1310,41,7.811873643595605e-06,0.00011049663839237386,0.6109421204384266,5,0.00880247742639637,0.6234008457794727,0.5793884586474909,0.6818794186539
58,0.5723743919928972,COMPLETE,0.5420478529522132,0.05713697567172079,6,838,0.00012358438657185448,0.32241092318995224,1052,38,0.0018109581686176948,0.0023913780841493073,0.5057535509200185,3,0.00844102151774695,0.6230205210993789,0.5808154135106441,0.6817405683232002
59,0.5707764365603527,PRUNED,0.44905452298969484,0.02160406866289464,8,970,0.0002459817120800459,0.372306699465597,1592,41,0.00804714918629892,0.0035965343109320494,0.5108739690331041,3,,,,
60,0.5719750978713827,COMPLETE,0.6432171397118317,0.058192723477708465,6,887,0.0008117529656895003,0.3814921022397515,1054,43,0.14894657945782488,0.0008085448087104637,0.538084710017674,4,0.008178421642153256,0.6210456277243022,0.5801535195135359,0.6817662100163009
61,0.5701733802674596,COMPLETE,0.6085239297342363,0.052168920635661996,6,841,0.009471811929003262,0.31990338386453365,1160,50,3.031592690386726,0.0019275020048887487,0.5821179907264122,5,0.009454406360951118,0.6268998184331662,0.5796277866284106,0.681582359628079
62,0.5717312610351173,COMPLETE,0.7386103382177635,0.06561353954864843,8,981,0.017296654695066103,0.5504697040555661,1865,57,0.0007181264123309995,0.0004949810934481588,0.5443026364592993,4,0.00765848174734991,0.6176821515192168,0.5793897427824672,0.6817611289657591
63,0.5715857843913191,COMPLETE,0.741740441135694,0.047080571343606686,8,833,0.17030944380770335,0.45560638696340117,2156,61,0.0008428134371111473,0.00014745649334578818,0.5647518312714428,4,0.009113963336619447,0.6262695644110358,0.5806997477279385,0.6815698914625122
64,0.570577574463658,COMPLETE,0.6314822292610422,0.07588767707568486,6,904,0.0002413671991807196,0.6957124235877379,878,36,0.0022708168597369532,0.0010583617624989694,0.5628727615320602,6,0.008929393790454742,0.6241539372063865,0.5795069682541127,0.6818905472429407
65,0.5717120529150288,PRUNED,0.5592827833611036,0.06738016517330297,7,989,0.0006538266028437324,0.12572702735547187,847,33,0.0707020756621938,0.005660460599282332,0.5034195913110936,4,,,,
66,0.5697189883523861,PRUNED,0.731767362886575,0.07274714308956584,6,938,0.002738017633426493,0.9366666992444034,1753,57,0.0041994425192891875,0.001373377972293037,0.6996626595846243,4,,,,
67,0.5695147893016403,PRUNED,0.5788997295299754,0.06262098952981998,6,882,0.00010576665257847553,0.5723459523302262,1823,28,0.5700876186273682,0.055453344951519594,0.6045492514137548,4,,,,
68,0.5718430335222277,PRUNED,0.5121614590021295,0.04026077993832382,4,828,0.00017064582290075205,0.49621294928210546,506,28,0.0042767926693993985,0.0008636718391062706,0.5219819068227947,4,,,,
69,0.5703165269966374,PRUNED,0.44756366791862284,0.072101032750883,5,788,0.0003807850063050654,0.1597282169605363,1375,35,0.0015590531786560471,0.0056615981132681365,0.5626369324085004,1,,,,
70,0.5723871400262419,COMPLETE,0.6555143275548931,0.07543307230028178,9,978,0.0003680176657447581,0.35621849493100394,1379,51,0.30930570734340523,0.00010614269742214423,0.5133786585489828,3,0.007449920474081374,0.6170866628707301,0.5798370605003232,0.6817128115326341
71,0.5725700147307438,PRUNED,0.45941408223750546,0.06492026115071409,6,944,0.00013999272874807748,0.3614077138407301,1383,37,2.7218868451865793e-05,0.006438765806332331,0.5168710724205451,4,,,,
72,0.5717669994242242,COMPLETE,0.7209539407137141,0.06589918918872378,8,911,0.00013890425560919803,0.43046159758223324,1229,48,7.749749986917276,0.00043979473734399806,0.6085088741669515,3,0.008658256426694799,0.623716537984393,0.580425255850919,0.6817254160082167
73,0.5804776041948003,PRUNED,0.5685785238707306,0.04191995854888789,8,712,0.0007512155188678288,0.2794423313362384,1940,63,0.9469104818082187,0.00013531787627161048,0.5279228540547652,3,,,,
74,0.5715967274736796,PRUNED,0.6534890840539721,0.0785175319776281,9,858,0.0007179998871092194,0.45244705700829024,980,61,0.0134589478400726,0.00017693341846672275,0.602013156351902,5,,,,
75,0.5708068542025372,COMPLETE,0.6176125701161742,0.05860255912349133,8,982,0.00025141703448522943,0.40870775307212553,1258,58,0.42995108485803973,0.00020854420118457973,0.5470560087533289,3,0.008644021430643646,0.6226709827863991,0.5794508756331809,0.6818379007449399
76,0.5726432707455471,PRUNED,0.8928770341048815,0.06621946143317381,5,973,0.002541568283024198,0.15449097566827047,2515,49,1.7721859625224212e-05,0.0001949915940429319,0.6104652787218975,2,,,,
77,0.5697306841424641,COMPLETE,0.6176705035455061,0.07257828947108196,9,647,0.0002454254626113983,0.6654035405526421,2004,35,0.010476937186444803,0.0010491578008066029,0.505588289340031,1,0.009837812903979892,0.6287575615663434,0.579568497046444,0.6816359492323989
78,0.5726949581807336,PRUNED,0.6719260710654792,0.04266805026910302,9,980,0.010719682632739829,0.3496578869602536,1519,49,3.2209008515934514e-06,0.00014293648145338953,0.5942075908750932,4,,,,
79,0.5681145185326194,PRUNED,0.6511338044823556,0.049726953739372776,9,724,0.0010595970184124111,0.45566810264497576,1813,43,9.259737090913248,0.0009221057621747726,0.6903912544154241,3,,,,
80,0.5715369316536966,COMPLETE,0.6244146177972414,0.07106919165926208,9,942,0.009211538866801781,0.5246881040909717,558,38,0.36123125693051295,0.001706934348688231,0.5531351961054427,3,0.008419473140983081,0.6220537704995951,0.5799564047946797,0.68188421674857
81,0.5718324489942637,COMPLETE,0.8087993701307421,0.06349573031606938,9,910,0.0003309504744946335,0.26278736093273614,1473,44,0.1323307574885339,0.004028211762344878,0.5026721661192626,5,0.007955774247743587,0.6195670944807252,0.5797882232420073,0.6816455393431874
82,0.5720092411499624,COMPLETE,0.8576009226690936,0.035425824880764185,9,862,0.0002468509538470441,0.1900543142167896,1446,42,0.11655474325037422,0.005189668696071255,0.5189908001277517,5,0.007810301609059756,0.6188710508043209,0.5798195427590221,0.681921541566891
83,0.5797396631367088,PRUNED,0.834355480668634,0.039916902778747536,9,912,0.001224193565119839,0.06722742634121662,1554,35,8.65297517280204,0.00032976799382860173,0.525608978930651,7,,,,
84,0.5795283763236793,PRUNED,0.6643354633707339,0.06617098293990152,9,882,0.00014757847159735762,0.1356059526164815,1490,57,0.12226457300778212,0.08169221608006483,0.5241893212151296,6,,,,
85,0.5713190070214078,COMPLETE,0.8385581439656936,0.06661885363141884,9,812,0.00013983453881012009,0.5232028457823814,1536,44,0.9828189009880638,0.004329262270359427,0.5273367215652017,4,0.00865258266936617,0.6232345030376049,0.579971589690774,0.6817033906585394
86,0.5806057836491104,PRUNED,0.6899574215617831,0.03272838291473435,8,912,0.0008219682168143235,0.31461403227004636,1540,39,0.10860983920243672,1.0620280627656111,0.5182808809641762,4,,,,
87,0.5715528305022864,PRUNED,0.7088470883884637,0.0380922337227863,5,837,0.0004863442991131032,0.5003262950192853,1352,45,0.0030846939202654132,0.0018115507040882084,0.5926574934977913,4,,,,
88,0.5723389698559924,PRUNED,0.8166563318239616,0.05988138944784089,9,771,0.00010283852911318585,0.3193016541911538,712,46,0.7676991170928373,0.0001587136489774651,0.6199711936406331,3,,,,
89,0.5702698740341601,PRUNED,0.8922386109778495,0.06727633680595904,8,942,0.010357516098486508,0.45142019471210615,1179,58,1.4405583214638273e-06,0.0001862042015331956,0.5142699563202657,1,,,,
90,0.5709630768225411,PRUNED,0.6561343379977862,0.03509947219728113,8,997,0.00020082212563487525,0.37029181066172684,940,34,0.00018748301238028796,0.008493944990225615,0.5106801815227675,2,,,,
91,0.580774104956082,PRUNED,0.6920956357201837,0.05033068747290092,8,903,0.00883866475532832,0.5784174029300241,1718,42,0.0004615599877926945,0.00026793332759663996,0.5727808727180169,3,,,,
92,0.572433298622999,PRUNED,0.8872511217608636,0.03155734020009652,9,728,0.0006557418240006429,0.35179314931020894,1041,40,0.07039779615709474,0.007332118112748616,0.5350419093014198,6,,,,
93,0.5709098606235643,PRUNED,0.8564513736005773,0.06226162861502606,9,905,0.10722605974168174,0.057400780787681634,2079,43,8.831641093121353e-08,0.0003407905499815787,0.6543174060560288,2,,,,
94,0.572015026193011,COMPLETE,0.7712581001622558,0.031499106489175324,8,951,0.0001804813874525492,0.3068011745348224,1690,35,2.3611818576823658,0.00048434668177024104,0.5995148840525384,3,0.008139715924033442,0.6208533217372116,0.5801547421170444,0.6818142549549684
95,0.571633019634494,COMPLETE,0.6216310479613847,0.05459787793334467,9,932,0.0006379500690712248,0.07918930879643277,1323,44,8.229891112609264,0.0009305224126163312,0.5281536779835369,4,0.007931919287953337,0.619224535362214,0.5795649389224473,0.6820118736660228
96,0.5723992038879363,PRUNED,0.7924290862898559,0.03957492011627759,8,941,0.0002261027503808581,0.1619444053926828,2055,50,0.1634311588198449,0.0011469015211759898,0.6193368931504545,4,,,,
97,0.5734177451393864,COMPLETE,0.7981235426512547,0.0470377528385479,9,989,0.002390269563073224,0.4319378474069252,953,52,0.002793865213112465,0.009147693229898942,0.5042769195884965,4,0.007163075638063088,0.6163961989677649,0.5805808207774494,0.6817848309380424
98,0.5720366747161202,COMPLETE,0.8685670036051555,0.06681544870282984,7,866,0.05316094779810481,0.024658072390062197,1142,51,7.44969617918737e-06,0.01625629111471876,0.5185576218561935,3,0.008054706040970605,0.6203649109619438,0.5800913807570908,0.6818906076673423
99,0.5724370961669247,PRUNED,0.7389156928209772,0.015653358249995985,8,1000,0.0004197200954575879,0.6647752162383529,1687,42,3.141204556190916,0.0007658215449778297,0.6421809253012869,3,,,,
100,0.5730490756800988,PRUNED,0.9375984847699708,0.04679097451269339,6,885,0.004100579538731317,0.03065606957184322,772,60,0.0002563311244651677,0.0001743143460470278,0.5450267520405507,3,,,,
101,0.5716300010747614,COMPLETE,0.7933224837302097,0.06887501491836137,8,846,1.3033721040114872,0.14427487022795676,512,51,1.638764434398216e-05,0.00865798686954319,0.5255493992056015,3,0.008747396670761121,0.624114381099328,0.5803773977455224,0.6815578431394096
102,0.573824204839417,PRUNED,0.762816601222811,0.024474903770116286,8,872,0.016722421282526267,0.7065245633472212,1294,50,8.065319973783095e-05,0.21101503461273208,0.5433874994180011,5,,,,
103,0.5704998068528697,COMPLETE,0.79724583285453,0.030912052495865563,9,960,0.0011555050497581588,0.24005786012346128,1651,30,0.48710064296208716,0.00012609348588215965,0.6374738953602302,3,0.009292967042459743,0.6262576091076282,0.5797927738953295,0.681721896396382
104,0.57115645561476,PRUNED,0.7355139568042477,0.04403944949496325,9,987,0.013052454199619593,0.39805536734606534,1114,47,0.0007812747887781698,0.07414870385186965,0.5342223346671157,4,,,,
105,0.5722543331524,COMPLETE,0.7841757281104571,0.06407903758817791,7,812,0.04239889943949885,0.07813602278700431,800,47,7.985412707689816e-08,29.261854925416724,0.5492247060363643,5,0.008416272737420983,0.6227519695769259,0.580670605889821,0.6815681848842563
106,0.5722343842561879,PRUNED,0.8490305373386245,0.06860241048616751,5,547,0.06835044049778354,0.05764743757130091,695,46,2.27923959446125e-08,29.84145900528241,0.5813488380863818,5,,,,
107,0.5713255038562566,PRUNED,0.6846942591896719,0.07367747108012192,8,796,0.06606738969092509,0.06590719032613834,2185,58,3.9455751343351574e-07,41.621267687789654,0.5982175054689739,5,,,,
108,0.5806963807227323,PRUNED,0.9271630133818057,0.056042863695281234,8,983,0.007596014323086428,0.054157431053318196,1177,59,3.935912220147563e-07,0.005257309189245188,0.5580686964964008,3,,,,
109,0.5716025043795421,COMPLETE,0.9429936061604931,0.06868385595599602,7,982,0.07978512453132064,0.1957233888107608,986,43,7.79016950640597e-06,23.449968588865186,0.5845106686412559,5,0.008115720129853,0.62029682515866,0.579718224509395,0.6818507403569475
110,0.5799507921270697,PRUNED,0.6041776233835602,0.04378263565248164,6,681,0.0009601625948294668,0.5057733610667434,640,37,0.001309748768353113,0.03000074520489,0.5392097782475574,3,,,,
111,0.5737110311704343,PRUNED,0.9274039371348461,0.05046068112881118,8,784,0.16510981877687927,0.37044602544349914,1284,44,0.0001989743558375161,0.004998193815019434,0.514028998897883,4,,,,
112,0.5708852456311913,PRUNED,0.7444528884821313,0.012630527597133128,7,923,0.00039447436992229773,0.30314368594189545,842,19,3.7925283143621296,0.001134478497689169,0.5507619577694258,4,,,,
113,0.5809062265461791,PRUNED,0.7459460282187087,0.0725342668800983,9,580,0.00023155708803101967,0.13651838471824787,1944,30,0.20832138874858247,0.029005164445086665,0.5571486527357723,5,,,,
114,0.5716899780346074,COMPLETE,0.8702967859763421,0.048541153391034715,9,870,0.0023170025602152677,0.29969936970602795,1209,49,0.0002262260069637021,0.0008583595705642116,0.550884451144278,4,0.00838999264816298,0.6220299339235853,0.5800799706827704,0.6817222572504376
